CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
102.5,10.20408490453677,10.25,1115714.5140980366,111701.98285884623,1690868.67609456,47183.91083581924,163159.8086969071,140.0,0.6648551033249093,0.004712078111785961,140452.52070853193,254994.50695059888,128.636629763932,1.4798126241379452,974.452195740755,140415.9491102081,421125.5073164883,110.0,1.312701086783843,14.824556777120014,149906.5256145156,223530.46969919372,97.85691438998091,7.0464506843380175,0.44942108095640815,75941.54218618937,206932.8761148837,150.0,0.48332956292284346,2.977043130621973,-61750.49625817929,421125.5073164883,165.0,0.0,0.7688244791266242,1.3365305930863505,1715,0,17.0
102.5,10.180644406206667,10.25,1116999.4991895224,111827.91135743354,1690868.67609456,44981.83868724411,163159.8086969071,140.0,0.6648551033249093,0.004631796283551272,140338.67245321925,254994.50695059888,128.636629763932,1.4798126241379452,973.6254194387091,140338.67245321925,421125.5073164883,110.0,1.312701086783843,14.972164869618412,149421.37375730855,223530.46969919372,97.85691438998091,7.0464506843380175,0.4200787642425632,75954.2453926637,206932.8761148837,150.0,0.48332956292284346,2.9777777777777774,-62433.46716681048,421125.5073164883,165.0,0.0,0.7647472661925517,1.3365305930863505,1719,0,17.0
102.5,10.141025939701986,10.25,1116131.118042574,111742.6140901585,1690868.67609456,46247.76495214748,163159.8086969071,140.0,0.6648551033249093,0.005001908834084141,138044.52427222257,254994.50695059888,128.636629763932,1.4798126241379452,933.9772314270444,134942.23742771134,421125.5073164883,110.0,1.312701086783843,14.417423837520042,148867.31117811296,223530.46969919372,97.85691438998091,7.0464506843380175,0.3865686798503474,74735.9157932444,206932.8761148837,150.0,0.48332956292284346,2.907215392838055,-62633.883989908485,421125.5073164883,165.0,0.0,0.7635489043292358,1.3365305930863505,1724,0,17.0
102.5,10.060918832453632,10.25,1118199.3092722483,111946.5570878366,1690868.67609456,46053.44624697349,163159.8086969071,140.0,0.6648551033249093,0.0049450968430684765,130457.29561709553,254994.50695059888,128.636629763932,1.4798126241379452,877.1922952569773,130457.29561709553,421125.5073164883,110.0,1.312701086783843,12.68880585633674,148977.8060757199,223530.46969919372,97.85691438998091,7.0464506843380175,0.3932514869605003,74993.33948424704,206932.8761148837,150.0,0.48332956292284346,2.872037517157237,-62957.922456614724,421125.5073164883,165.0,0.0,0.7625514717096235,1.3365305930863505,1728,0,17.0
102.5,10.15595390720482,10.25,1120314.856853338,112156.83088253868,1690868.67609456,46205.806596430826,163159.8086969071,140.0,0.6648551033249093,0.004989641678815316,135104.50508816296,254994.50695059888,128.636629763932,1.4798126241379452,912.5757576920128,135104.50508816296,421125.5073164883,110.0,1.312701086783843,13.612291874472495,152568.98284686182,223530.46969919372,97.85691438998091,7.0464506843380175,0.38577610680580066,76139.27834398959,206932.8761148837,150.0,0.48332956292284346,2.937374357400446,-65997.91307003965,421125.5073164883,165.0,0.0,0.7672101588275916,1.3365305930863505,1732,0,17.0
102.5,10.23253857185823,10.25,1122791.3743422292,112400.67971363019,1690868.67609456,45465.42525254769,163159.8086969071,140.0,0.6648551033249093,0.004773180076628353,127646.43587861807,254994.50695059888,128.636629763932,1.4798126241379452,855.4175831417625,127646.43587861807,421125.5073164883,110.0,1.312701086783843,14.84643601532567,152663.67650966762,223530.46969919372,97.85691438998091,7.0464506843380175,0.38939540229885056,78106.70467691484,206932.8761148837,150.0,0.48332956292284346,2.8803065134099617,-66149.637750928,421125.5073164883,165.0,0.0,0.7662766283524904,1.3365305930863505,1736,0,17.0
102.5,10.216932692015464,10.25,1124770.380114708,112594.0829203302,1690868.67609456,43022.205066573246,163159.8086969071,140.0,0.6648551033249093,0.004767896877157984,133653.40665978586,254994.50695059888,128.636629763932,1.4798126241379452,902.8005792987034,133653.40665978586,421125.5073164883,110.0,1.312701086783843,16.469653188061077,146081.29549569255,223530.46969919372,97.85691438998091,7.0464506843380175,0.37443719788229884,78572.35036250777,206932.8761148837,150.0,0.48332956292284346,2.905393999846544,-63162.28549398974,421125.5073164883,165.0,0.0,0.7673137420394385,1.3365305930863505,1741,0,17.0
102.5,10.194077909883307,10.25,1126649.571438683,112778.01202905805,1690868.67609456,43251.33271725867,163159.8086969071,140.0,0.6648551033249093,0.004846587835226833,144177.4151914893,254994.50695059888,128.636629763932,1.4798126241379452,944.2615573073653,139054.6286717813,421125.5073164883,110.0,1.312701086783843,18.165932452276063,146634.4288415659,223530.46969919372,97.85691438998091,7.0464506843380175,0.4318795888399412,79839.19061239452,206932.8761148837,150.0,0.48332956292284346,2.97352191050313,-62228.75683523373,421125.5073164883,165.0,0.0,0.772919081845583,1.3365305930863505,1746,0,17.0
102.5,10.182063618947387,10.25,1130064.7624518217,113113.02918738559,1690868.67609456,43434.47223957138,163159.8086969071,140.0,0.6648551033249093,0.00490948475939966,145413.81140589603,254994.50695059888,128.636629763932,1.4798126241379452,953.2415550054155,145413.81140589603,421125.5073164883,110.0,1.312701086783843,22.104207798236114,146948.5595922352,223530.46969919372,97.85691438998091,7.0464506843380175,0.4645017793594306,81292.28482389779,206932.8761148837,150.0,0.48332956292284346,3.229003558718861,-62104.209688341994,421125.5073164883,165.0,0.0,0.7736654804270463,1.3365305930863505,1751,0,17.0
102.5,10.221369595740457,10.25,1130064.7624518217,113113.02918738559,1690868.67609456,43518.57074771858,163159.8086969071,140.0,0.6648551033249093,0.00493836731529576,146572.6691021846,254994.50695059888,128.636629763932,1.4798126241379452,961.4388975889603,146503.5203389835,421125.5073164883,110.0,1.312701086783843,22.207225366307462,147918.44664475525,223530.46969919372,97.85691438998091,7.0464506843380175,0.5652236607488952,80121.37438748876,206932.8761148837,150.0,0.48332956292284346,3.1373439801534997,-64684.394908946444,421125.5073164883,165.0,0.0,0.7752694007287387,1.3365305930863505,1755,0,17.0
